reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/00369/FUL,Erection of a single storey rear extension to dwelling and single storey extension to garage to create an office with enlargement of drive.,2023-04-11,local-authority:DNC,,,,
23/00370/FUL,Erection of 2 detached houses & formation of new vehicular access following demolition of existing dwelling (Amended Design) (without compliance with conditions 2 & 3 of planning application 20/02736/FUL granted on 29/01/2021),2023-05-26,local-authority:DNC,,,,
23/00372/3FUL,"Proposed temporary site compound to service St Leger Homes workforce as a site office, storage and welfare provision while carrying out external improvements to all stock managed by St Leger Homes within Cantley",2023-04-27,local-authority:DNC,,,,
23/00373/FUL,Installation of 1.5 MW CHP plant and associated works including two accumulator tanks and a new transformer,2023-08-15,local-authority:DNC,,,,
23/00374/FUL,Erection of single storey rear orangery extension and glazing to 2no arches and demolition of existing single storey element of property  and removal of chimney above.,2023-04-17,local-authority:DNC,,,,
23/00375/FUL,Erection of 2 storey and single storey extension to rear  and a porch to  the front of the property,2023-07-07,local-authority:DNC,,,,
23/00380/FUL,Erection of a single storey rear extension following demolition of existing,2023-04-24,local-authority:DNC,,,,
23/00382/FUL,"Amended - Erection of a different flat roof over the new extension to that which was previously approved. To include the installation of an air conditioning unit (the location of which has been amended to the rear elevation of the main dwelling house, as per the amended plans dated 09.10.2023) and eaves overhang of 600mm to the built extension (Retrospective). Following a previous approval on the 14.06.2021 under planning reference number: 21/01111/FUL.",2023-10-11,local-authority:DNC,,,,
23/00384/FUL,Erection single storey extension to rear forming a bedroom and bathroom in materials to match existing.,2023-06-19,local-authority:DNC,,,,
23/00386/FUL,Erection of a single and two storey rear extension to dwelling,2023-06-15,local-authority:DNC,,,,
23/00387/FUL,Installation of new glazed frontage and double doors to existing entrance and re-grading of external area to provide level access to the public house.,2023-06-12,local-authority:DNC,,,,
23/00390/FUL,Erection of a two storey side extension to replace existing single storey attached garage and two roof lights to the rear of the property,2023-04-24,local-authority:DNC,,,,
23/00393/FUL,Change of use from Children's Residential Home (C2) to living accommodation for disabled adults linked to Mercury College (Sui Generis) (AMENDED DESCRIPTION),2023-12-12,local-authority:DNC,,,,
23/00394/ADV,Display of large stainless steel lettering forming building name to top of parapet wall on 3 storey apartment building and small welcome sign at entrance door.,2023-04-11,local-authority:DNC,,,,
23/00395/FUL,Erection of single storey pitched roof rear extension to replace an existing conservatory,2023-04-26,local-authority:DNC,,,,
23/00397/FUL,Change of use of existing attached garage (Class C3) to new salon Class E including new window and door in place of existing garage door (Retrospective),2023-06-01,local-authority:DNC,,,,
23/00398/FUL,"Erection of 2 storey side and single storey rear extension including general alteration, render and replacement windows.",2023-04-17,local-authority:DNC,,,,
23/00402/FUL,Erection of a new animal house and aviary to house new animal species in existing South American animal enclosure,2023-05-05,local-authority:DNC,,,,
23/00404/FUL,Change of use of garage into a treatment room and external alterations to front facade (Retrospective),2023-04-06,local-authority:DNC,,,,
