reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/01045/FUL,"Replacement detached dormer bungalow with detached garage
",2023-08-03,local-authority:DNC,,,,
23/01046/COU,Change of use from Class A3 and Class E to Sui Generis for Indian Restaurant and Takeaway.,2023-10-11,local-authority:DNC,,,,
23/01047/FUL,"Erection of a two storey side and rear extension following the demolition of the existing rear extension, as well as rendering to dwelling in sand colour. (being resubmission of application 23/00303/FUL granted on 17/05/23.)",2023-06-19,local-authority:DNC,,,,
23/01050/TIP,Change of use of existing building and site from Use Class B2 to metal recycling and treatment plant with associated waste storage (Use Class Sui Generis).,2023-10-13,local-authority:DNC,,,,
23/01052/FUL,Change of use of existing single storey detached building from office to a 1 bedroom residential annexe and associated external alterations (Retrospective),2023-08-22,local-authority:DNC,,,,
23/01054/ADV,"Install 7x fascia sign, 1x projecting sign, 3x dibond panel & 3x graphic vinyl.",2023-07-05,local-authority:DNC,,,,
23/01060/FUL,Installation of dropped kerb with associated hard standing for off-street parking and altered boundary treatment (retrospective).,2023-07-12,local-authority:DNC,,,,
23/01065/FUL,"Convert existing building containing 2 flats to house three flats including conversion of basement for storage and construction of dormer (Being resubmission of application 23/00560/FUL, refused on 10.05.23).",2023-08-22,local-authority:DNC,,,,
23/01066/FUL,Erection of rear flat roof extension to the ground floor shop and first floor extension to existing residential flat.,2023-09-04,local-authority:DNC,,,,
23/01069/FUL,Erection of two dwellings (Being resubmission of 22/02460/FUL refused on 07.03.2023),2023-08-10,local-authority:DNC,,,,
23/01071/FUL,Erection of extension to existing storage units to create 3 additional units (RETROSPECTIVE),2023-09-01,local-authority:DNC,,,,
23/01072/FUL,Erection of 16MW Battery Storage Facility,2023-07-11,local-authority:DNC,,,,
23/01074/COU,Change of use of single dwelling to 2 flats,2023-07-11,local-authority:DNC,,,,
23/01075/FUL,Erection of a front extension and installation of a new roof in connection with conversion of garage to living accommodation,2023-07-18,local-authority:DNC,,,,
23/01076/FUL,Installation of external external cladding to front and rear of the property,2023-09-13,local-authority:DNC,,,,
23/01077/FUL,Erection of single-storey extension to the rear following demolition of existing conservatory and installation of flat roof dormer window to rear in connection with formation of rooms in roof space,2023-10-13,local-authority:DNC,,,,
23/01078/FUL,Removal of rooflights and the installation of dormer windows to the front and rear elevations.,2023-11-02,local-authority:DNC,,,,
23/01080/3FUL,"Erection of a single storey rear extension, roof alteration to existing lobby annex and refurbishment of existing bungalow. Also external works to include new permeable driveway, new rear patio and replacement of boundary fencing",2024-03-12,local-authority:DNC,,,,
23/01081/FUL,AMENDED - Erection of a 3.0m rear projection first floor extension (with Green Roof) above the existing single storey extension to the rear. The addition and alteration of windows to front and rear elevations and the installation of an 80 cm wide pedestrian gate and a 4m wide auto gate to the existing front 1.2m high boundary fence/treatment.,2023-07-14,local-authority:DNC,,,,
23/01087/FUL,Formation of a dropped kerb to allow access to and from the hard drive at the front of the property onto Melton Mill Lane (Retrospectively).,2023-09-21,local-authority:DNC,,,,
23/01090/FUL,Erection of single storey rear extension and first floor front extension.,2023-06-29,local-authority:DNC,,,,
23/01093/FUL,Installation of drop kerb and formation of hard standing for private parking (retrospective),2023-08-03,local-authority:DNC,,,,
23/01098/FUL,Erection of an external cold room and installation of external plant,2023-08-31,local-authority:DNC,,,,
23/01099/REMM,"Details of appearance, landscaping, layout and scale for 382 residential dwellings being matters reserved in outline application 12/00188/OUTM, granted on 27/10/2017 (being variation of condition 1 of application 20/01421/REMM to change the house type from C2 to C for plots 1, 2, 26, 27, 34, 35, 37, 38, 66, 67, 98, 99, 118, 119, 127, 128, 132 and 133).",2023-11-23,local-authority:DNC,,,,
23/01100/ADV,Retention of 2 existing signs on building facade as previous approval 17/00330-ADV (time limited).,2023-07-12,local-authority:DNC,,,,
23/01103/FUL,Changing the existing external material of all faces of the property from buff brick to African Ivory render.,2023-07-05,local-authority:DNC,,,,
23/01104/ADV,Erection of illuminated signage at main entrance and newly created window bed to have signage treatment. Including illuminated signage at high level on cladding panels.,2023-07-25,local-authority:DNC,,,,
23/01105/FUL,Proposed extension to the existing car park and alterations to the existing car park,2023-07-27,local-authority:DNC,,,,
23/01111/FUL,"Change of use from a dwelling (C3) to a children's care home (C2), with associated external works including replacement/installation of windows, rooflights and doors, and changes to parking layout.",2024-03-27,local-authority:DNC,,,,
23/01114/4FUL,Proposed change of use from a dwelling (Use Class C3) to a Youth Services Centre (Use Class F1),2023-09-15,local-authority:DNC,,,,
23/01115/COU,Change of use from existing agricultural buildings to (B8) storage,2023-08-21,local-authority:DNC,,,,
23/01119/FULM,"Proposed external alterations to building entrance, erection of a new free standing vehicle shelter, reconfiguration of the site to accommodate additional vehicle parking and circulation areas.",2023-08-08,local-authority:DNC,,,,
23/01120/COU,"Change of use of existing bedroom (Class C3) into a beauty salon (Class E)
",2023-08-22,local-authority:DNC,,,,
23/01124/FUL,Proposed single storey extension to existing offices,2023-08-10,local-authority:DNC,,,,
23/01125/FUL,Erection of detached dwelling,2023-08-16,local-authority:DNC,,,,
23/01127/FUL,Demolition of two garages and erection of replacement double garage.,2023-08-10,local-authority:DNC,,,,
23/01128/FUL,Erection of ground floor extension to the rear with associated external alterations.,2023-09-15,local-authority:DNC,,,,
23/01129/FUL,Erection of 3 detached dwellings (being variation of condition 2 - amendments to approved plans on application 21/03464/FUL granted on 19/10/22).,2024-03-20,local-authority:DNC,,,,
23/01131/FUL,Erection of one replacement dwelling.,2024-04-17,local-authority:DNC,,,,
23/01132/COU,Change of use from Children's Home (C2) to residential dwellinghouse (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01133/COU,Change of use from Children's Homes (C2) to 2 no. residential dwellinghouses (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01134/COU,Change of use from Children's Home (C2) to 2 no. residential dwellinghouses (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01137/FUL,"Demolition of the existing barn and garage, with the boundary walls of the existing barn to be retained and reduced to approximately 1.8m in height, if structurally viable. Erection of a single storey rear Kitchen extension to the dwelling house and erection of a single storey Store (to be built on the footprint of the existing garage).",2023-07-11,local-authority:DNC,,,,
23/01138/FUL,"Erection of front, side and rear ground floor extension",2023-08-17,local-authority:DNC,,,,
23/01139/TPO,Consent to fell one sycamore; the tree being within G81 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley,2023-06-08,local-authority:DNC,,,,
23/01142/FUL,Conversion of the existing building to a restaurant (Use Class E(b)) with associated external alterations.,2023-07-31,local-authority:DNC,,,,
23/01144/FUL,Loft extension to No 10 and 12 Alverley Lane. Associated 1st floor rear extension to No 10 with retrospective garden store outbuilding.,2023-07-31,local-authority:DNC,,,,
23/01145/FUL,Demolition of existing conservatory and erection of a single storey rear (infill) extension to the side of the existing Utility.,2023-07-10,local-authority:DNC,,,,
23/01149/COU,Change of use from Children's Home (C2) to residential dwellinghouse (C3(a)),2024-09-02,local-authority:DNC,,,,
23/01154/OUT,Outline application for the erection of a detached dwelling and garage including demolition of the existing building within the site (all matters reserved),2023-11-30,local-authority:DNC,,,,
23/01158/TPO,"Consent to Crown lift 5 m above ground level by removal of secondary branches only maximum wound diameter, 75mm and crown clean, removing crossing rubbing dead branches and crown thin by 10% two Sycamore and one Beech tree (G1), Crown lift to 6m above ground level and cut back south east crown by 2 -3m back to suitable growing points, maximum wound diameter 75 mm clear neighbouring property 2-3m and crown, clean, removing crossing, rubbing, dead branches and crown thin by 10% one Beech tree (G2) and Crown lift to 4 m above ground level over driveway and reduce south east crown by approximately 2m one Yew (G2). The trees are subject to G32 of Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.",2023-11-13,local-authority:DNC,,,,
23/01168/FUL,"Erection of a first floor extension to the side/rear, creating 2 additional Bedrooms. 1 Bedroom being with a Dressing Room and En-Suite.",2023-07-14,local-authority:DNC,,,,
23/01169/FUL,"AMENDED - Erection of two storey side/rear extensions, a single storey rear extension and erection of a detached garage, following the demolition of the existing (being resubmission of 21/03487/FUL, granted on 09/06/2022).",2023-08-04,local-authority:DNC,,,,
23/01175/FUL,Demolition of external canopy. Erection of a front Porch extension and a full width single storey rear extension (to include a Utility) with a balcony/Terrace above at first floor level.,2023-08-22,local-authority:DNC,,,,
23/01176/FUL,Erection of first floor extension over play room with a ground floor single storey extension to the rear of the dwelling.,2023-08-08,local-authority:DNC,,,,
23/01177/FUL,"Demolition of existing single story flat roof building. Extension to existing framed building, to be used as a commercial / industrial unit. Proposed additional car parking to front of office building & associated landscaping.",2023-10-12,local-authority:DNC,,,,
