reference,planning-application,planning-condition,documentation-url,document-url,organisation,notes,entry-date,start-date,end-date
21/00433/MIN-17,21/00433/MIN,U0125243,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-18,21/00433/MIN,U0125244,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-19,21/00433/MIN,U0125245,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-20,21/00433/MIN,U0125246,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-21,21/00433/MIN,U0125247,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-22,21/00433/MIN,U0125248,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-23,21/00433/MIN,U0125249,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-24,21/00433/MIN,U0125250,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-25,21/00433/MIN,U0125251,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-26,21/00433/MIN,U0125252,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-27,21/00433/MIN,U0125253,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-28,21/00433/MIN,U0125254,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-29,21/00433/MIN,U0125255,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-30,21/00433/MIN,U0125256,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-31,21/00433/MIN,U0125257,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-32,21/00433/MIN,U0125258,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-33,21/00433/MIN,U0125259,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-34,21/00433/MIN,U0125260,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
21/00433/MIN-35,21/00433/MIN,U0125261,https://necdm.doncaster.gov.uk/PublicAccess_LIVE/SearchResult/RunThirdPartySearch?FileSystemId=DP&FOLDER1_REF=21/00433/MIN,,local-authority:DNC,,2024-07-26,2024-07-26,
